evidence_id,stage,artifact_name,description,producing_process,status,sha256,file_size_bytes,row_count,schema_summary,visibility,claims_supported,public_derivative
EV-A01,upstream,dataset_manifest.csv,Recovered historical split/source bridge,early aggregation/cleaning,historical,cc845f7b08a3aa68794615d3961af6ee385be90af38106a61d71ae3886a2b438,26085124,91528,dst_path;src_path;label;split;dataset;domain;weight,restricted,source provenance; historical split,
EV-A02,upstream,final_cropcop_registry.csv,Recovered pre-audit source-family registry,early aggregation,historical,c02a7538ea0404d2a3f51a2340b9294584b21e4cef11b2316195a0b3745aa41c,23247906,117562,path;label;dataset;domain;weight;holdout,restricted,source-family accounting; holdout intent,
EV-B01,ontology,class_index.json,Historical 80-class class index; not final authority,historical class-index export,historical,5ad9ff0bce012109ec468b16ca7351c685ed1cdb641c003cc146f8e72360c67c,4901,80,class_to_idx;idx_to_class;num_classes,public-summary,historical ontology state,data_card/lineage/lineage.json
EV-E00,v4,cropcop-ds-v4-audit (2).zip,Complete recovered V4 audit bundle,V4 preflight,historical,d996f37ede736b66b597fd9871fe67cfc3a3dfd4c94d0976abde5012826a23ad,273044335,,archive,restricted,V4 preflight and historical duplicate graph,
EV-E01,v4,duplicate_pair_edges.csv,V4 historical confirmed-edge table,V4 preflight,historical,0758afb412e13d1c09d97515903cbdffa8e4dfcb69f3cb3769ab41130eca3c07,3665757,8672,edge endpoints; labels; relation; route metrics,restricted,"8,672 historical confirmed edges",data_card/audit/duplicate_edge_history.csv
EV-E02,v4,pipeline_runtime_log.txt,V4 runtime log with candidate-universe identity,V4 preflight,historical,c131f4fd340ba28fc9a69ad3d4d2eb7f69ddf29b2877eb5faea40b88a8e9355a,58006,,text log,restricted,"117,546 rows; V4 build fingerprint",
EV-F00,v5,cropcop-ds-v5-audit.zip,Complete recovered V5 repair/rebuild bundle,V5 repair,current,855d4c1b9820336cf08411297338773aa89e615c2c724a9114d52f076e42d76a,64388889,,archive,restricted,edge re-verification; quarantine; group-safe split,
EV-F01,v5,build_summary.json,V5 build summary,V5 repair/rebuild,current,373d358c389f417745a5bf121ca8400dd5f5f6b546c3aedfa6ae4c3cede4b77d,1083,,JSON summary,public-summary,V5 counts; historical leakage; quarantine,data_card/lineage/lineage.json
EV-F02,v5,test_results.csv,V5 certification tests,V5 repair/rebuild,current,950051b9fe78535d27d8e31db64358de1c695ebd39f4994c6a9f4d04b2dbf9d8,1034,16,test_name;severity;passed;details,restricted,group-safe split and duplicate checks,
EV-H00,model_readiness,cropcop-model-readiness-QA-audit.zip,Complete model-readiness QA bundle,model-readiness QA,current,cb0e7f8b8a8fa8aabd9b459492913051e2422906b5bd9b6a2fb6fe5bb77c0610,52737185,,archive,restricted,QA metrics; review queues; shortcut probes,
EV-H01,model_readiness,embedding_residual_similarity_pairs.csv,122 cross-label residual similarity pairs,model-readiness QA,current,f884da2169c3e96192261c5c0308db1df924574d132ddcec7d246f78491d82a9,26867,122,pair endpoints; labels; cosine similarity; review reason,restricted,manual-review queue reconstruction,data_card/audit/model_readiness_manual_review_reconstruction.json
EV-H02,model_readiness,CropCop_QA_priority_manual_review.csv,180-row manual-review queue,manual review preparation,current,634bc62c046d013858eb52c012e56bd816943e7db429cce380872f2120e638e2,77043,180,record identity; QA signals; priority_score,restricted,manual-review queue and priorities,data_card/audit/model_readiness_manual_review_reconstruction.json
EV-I00,final,cropcop-final-v1-certification-reports-audit.zip,Complete final-freeze certification bundle,finalization,current,e630c0e6bb1101d1b61d55102e30fe16cd27ad4355699749bce72d995bedb43c,22281572,,archive,restricted,"final freeze, certificate, lineage, tests",
EV-I01,final,FINAL_DATASET_CERTIFICATE.json,Final certified dataset summary,finalization,current,9e53d7100ea4fd9829d7e16e63e531a2bac29204a363bff2a7a2ea0be43d468c,2034,,JSON certificate,public,"109,107 freeze; fingerprints; delete-only finalization",evidence/public/dataset_lineage/final_dataset_certificate.json
EV-I02,final,manual_review_applied_43.csv,Locked 43-row deletion ledger,finalization,current,e2a9c2efb161b2a6bcca4f9e974f590ad5ec7f64bc8126c349cf35709195d521,17850,43,record_key;label;split;paths;priority;decision,restricted,43 delete-only final exclusions,data_card/audit/manual_review_summary.csv
EV-P01,provenance,source_provenance_reconstruction_restricted.csv,Row-level reconstructed final provenance ledger,journal-extension reconstruction,current,fe596ead93eff17a5b976b69e347ef614dd38e6d90efd41ffa0d128c54fc7181,43837322,109107,record_key;sha256;final label/split;leakage group;historical identity;source family;provenance method/confidence;source-path status,restricted,source provenance coverage,data_card/provenance/provenance_coverage.csv
